Comment,Description,Designator,Footprint,LibRef,Quantity

"1u","CC0603KRX7R7BB105","C1, C2, C3, C4, C5, C7","CAPC1608X90N","CC0603KRX7R7BB105","6"
"10u","GRM188R61A106ME69D","C6, C16, C21, C26, C27, C28, C29, C30, C31, C32, C33","GRM18x","GRM188R61A106ME69D","11"
"8p","CGA3E2C0G1H080D080AA","C8, C9","CAPC1608X90N","CGA3E2C0G1H080D080AA","2"
"2u2","CL10B225KP8NNNC","C10, C11, C23, C24","CAPC1608X90N","CL10B225KP8NNNC","4"
"470u","UWT1E471MNL1GS","C12, C14","CAPAE1030X1080N","UWT1E471MNL1GS","2"
"0.1u","CC0603KRX7R8BB104","C13, C15, C25, C35","CAPC1608X90N","CC0603KRX7R8BB104","4"
"22u","GRM219R61A226MEA0D","C17, C18, C19, C20","CAPC2012X95N","GRM219R61A226MEA0D","4"
"DNP","CL10B225KP8NNNC","C22_0, C22_1, C22_2, C22_3, C22_4, C22_5, C22_6, C22_7","CAPC1608X90N","CL10B225KP8NNNC","8"
"16V 26V","SMAJ16CA-13-F","D1","DIONM5226X240N","SMAJ16CA-13-F","1"
"TSSA3U45","Schottky Diode","D2","DIOM5126X250N","TSSA3U45","1"
"SML-D12P8WT86C","LED","D2 LED, LED1, LED2","LEDM1620X150N","SML-D12P8WT86C","3"
"DESD5V0U1BA-7","TVS Diode (Bi-directional)","D3_0, D3_1, D3_2, D3_3, D3_4, D3_5, D3_6, D3_7","SOD2513X120N","DESD5V0U1BA-7","8"
"0.22 V 1A","LSM115JE3_TR13","D4, D5, D6","DIOM5436X330N","LSM115JE3_TR13","3"
"3A","0685T3000-01","F1","FUSC3216X83N","0685T3000-01","1"
"1A","ERB-RE1R00V","F2, F3, F4, F5, F6, F7, F8, F9","ERBRE0R50V","ERB-RE1R00V","8"
"ferrite bead 0805","FBMJ2125HS250NT","FB1","BEADC2012X105N","FBMJ2125HS250NT","1"
"BLM18KG121TN1D","Ferrite Bead","FB2","BLM18EG101TH1D","BLM18KG121TN1D","1"
"5V","TS2596CM550_RNG","IC1","TS2596CM550RNG","TS2596CM550_RNG","1"
"SI4214DDY-T1-GE3","Integrated Circuit","IC2","SOIC127P600X175-8N","SI4214DDY-T1-GE3","1"
"3.3V","LD1085D2M33R","IC3","TO254P1542X460-3N","LD1085D2M33R","1"
"INA214AIDCKR","Integrated Circuit","IC4","SOT65P210X110-6N","INA214AIDCKR","1"
"ATA6560-GAQW-N","Integrated Circuit","IC5","SOIC127P600X175-8N","ATA6560-GAQW-N","1"
"USB4105-GF-A","CONN RCPT USB2.0 TYPEC 5A","J1","FP-USB4105-GF-A-MFG","CMP-245163-000001-1","1"
"6437288-1","Connector","J2","6437288-1","6437288-1","1"
"61300511121","Connector","J3","HDRV5W64P0X254_1X5_1270X254X854P","61300511121","1"
"47u","104CDMCCDS-470MC","L1","104CDMCCDS470MC","104CDMCCDS-470MC","1"
"22","RMCF0603JT22R0","R1, R2","RESC1608X55N","RMCF0603JT22R0","2"
"10k","RC0603FR0710KL","R3, R4, R7, R23","RESC1608X55N","RC0603FR0710KL","4"
"0","RC0603JR-070RL","R5, R6","RESC1608X55N","RC0603JR-070RL","2"
"0.01","CSS0603FT10L0","R8","CSS0603FT10L0","CSS0603FT10L0","1"
"2.74M","CRCW06032M74FKEA","R9","RESC1608X50N","CRCW06032M74FKEA","1"
"510k","RC0603JR-07510KL","R10","RESC1608X55N","RC0603JR-07510KL","1"
"4.7k","RC0603FR-074K7L","R11, R22","RESC1608X55N","RC0603FR-074K7L","2"
"215k","ERJ-3EKF2153V","R12","RESC1608X55N","ERJ-3EKF2153V","1"
"84.5k","RC0603FR-0784K5L","R13","RESC1608X55N","RC0603FR-0784K5L","1"
"1.5k","RC0603FR-071K5L","R14","RESC1608X55N","RC0603FR-071K5L","1"
"56","RC0805FR-0756RL","R15, R17","RESC2012X60N","RC0805FR-0756RL","2"
"140","RC0805FR-07140RL","R16","RESC2012X60N","RC0805FR-07140RL","1"
"340","RC0603FR-07340RL","R18_0, R18_1, R18_2, R18_3, R18_4, R18_5, R18_6, R18_7","RESC1608X55N","RC0603FR-07340RL","8"
"665","RC0603FR-07665RL","R19_0, R19_1, R19_2, R19_3, R19_4, R19_5, R19_6, R19_7","RESC1608X55N","RC0603FR-07665RL","8"
"ERA-6AEB103V","Metal Film Chip Resistor, High Reliability Type, 0.125 W, +/- 0.1%, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R20, R21","RESC2013X60X40LL20T25_A","CMP-2001-00582-2","2"
"60.4","ERJ-PA3F60R4V","R24","ERJP03_PA3_(0603)","ERJ-PA3F60R4V","1"
"SDA01H1SBD","Switch","S1","SDA01H1SBD","SDA01H1SBD","1"
"PRTR5V0U2X,215","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode, 5.5 V, 1 pF, -40 to 85 degC, 4-Pin SOT143B, RoHS, Tape and Reel","TVS1","NXP-SOT143B-4_V","CMP-2000-05285-1","1"
"STM32F405RGT7","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 105 degC, Tray","U1","STM-LQFP64_N","CMP-0243-00093-2","1"
"LTC4365ITS8#TRMPBF","UV, OV and Reverse Supply Protection Controller, 2.5 to 34 V Vin, 8-pin SOT23 (TS8-8), -40 to 85 degC, Pb-Free, Mini Tape and Reel","U2","LT-TS8-8-TSOT-23_V","CMP-0474-00861-1","1"
"8 MHz","AA-8.000MALV-T","X1","ABRA-ABM3-2_V","CMP-2000-05033-1","1"
